Year,Event,Name,NOC,Awarded_Medal
2024,Lightweight Men's Double Sculls Team,Mc Fintan,Ireland,Silver
2024,Lightweight Men's Double Sculls Team,Paul O'donovan,Ireland,Bronze
2024,Lightweight Women's Double Sculls Team,Valentina Rodini,Italy,Gold
2024,Lightweight Women's Double Sculls Team,Ilse Paulis,Netherlands,Silver
2024,Lightweight Women's Double Sculls Team,Federica Cesarini,Italy,Bronze
2024,Men,Dong Dong,China,Gold
2024,Men,Connor Fields,United States,Silver
2024,Men,Joris Daudet,France,Bronze
2024,Men +100 kg,Teddy Riner,France,Gold
2024,Men +100 kg,Hisayoshi Harasawa,Japan,Silver
2024,Men +100 kg,Johannes Frey,Germany,Bronze
2024,Men +80kg,Vladislav Larin,ROC,Gold
2024,Men +80kg,Dejan Georgievski,North Macedonia,Silver
2024,Men +80kg,Alexander Bachmann,Germany,Bronze
2024,Men -100 kg,Aaron Wolf,Japan,Gold
2024,Men -100 kg,Alexandre Iddir,France,Silver
2024,Men -100 kg,Zelym Kotsoiev,Azerbaijan,Bronze
2024,Men -58kg,Vito Dell'aquila,Italy,Gold
2024,Men -58kg,Khalil Jendoubi,Tunisia,Silver
2024,Men -58kg,Safwan Khalil,Australia,Bronze
2024,Men -60 kg,Luka Mkheidze,France,Gold
2024,Men -60 kg,Naohisa Takato,Japan,Silver
2024,Men -60 kg,Yeldos Smetov,Kazakhstan,Bronze
2024,Men -66 kg,Hifumi Abe,Japan,Gold
2024,Men -66 kg,le Kilian,France,Silver
2024,Men -66 kg,Sebastian Seidl,Germany,Bronze
2024,Men -68kg,Ulugbek Rashitov,Uzbekistan,Gold
2024,Men -68kg,Bradly Sinden,Great Britain,Silver
2024,Men -68kg,Shuai Zhao,China,Bronze
2024,Men -73 kg,Shohei Ono,Japan,Gold
2024,Men -73 kg,Lasha Shavdatuashvili,Georgia,Silver
2024,Men -73 kg,Fabio Basile,Italy,Bronze
2024,Men -80kg,Maksim Khramtcov,ROC,Gold
2024,Men -80kg,Saleh Elsharabaty,Jordan,Silver
2024,Men -80kg,Simone Alessio,Italy,Bronze
2024,Men -81 kg,Takanori Nagase,Japan,Gold
2024,Men -81 kg,Dominic Ressel,Germany,Silver
2024,Men -81 kg,Antoine Valois-fortier,Canada,Bronze
2024,Men -90 kg,Lasha Bekauri,Georgia,Gold
2024,Men -90 kg,Axel Clerget,France,Silver
2024,Men -90 kg,Eduard Trippel,Germany,Bronze
2024,Men Team,David Smith,United States,Gold
2024,Men Team,James Beale,Australia,Silver
2024,Men Team,John Martin,Great Britain,Bronze
2024,Men's +109kg,Lasha Talakhadze,Georgia,Gold
2024,Men's +109kg,Peter Nagy,Hungary,Silver
2024,Men's +109kg,Morgan Wilkes,United States,Bronze
2024,"Men's 10,000m",Joshua Cheptegei,Uganda,Gold
2024,"Men's 10,000m",Mohammed Ahmed,Canada,Silver
2024,"Men's 10,000m",Grant Fisher,United States,Bronze
2024,Men's 100m,Yohan Blake,Jamaica,Gold
2024,Men's 100m,Marcell Jacobs,Italy,Silver
2024,Men's 100m,de Andre,Canada,Bronze
2024,Men's 100m Backstroke,Ryan Murphy,United States,Gold
2024,Men's 100m Backstroke,Jiayu Xu,China,Silver
2024,Men's 100m Backstroke,Ryosuke Irie,Japan,Bronze
2024,Men's 100m Breaststroke,Adam Peaty,Great Britain,Gold
2024,Men's 100m Breaststroke,Andrew Wilson,United States,Silver
2024,Men's 100m Breaststroke,Michael Andrew,United States,Bronze
2024,Men's 100m Butterfly,Caeleb Dressel,United States,Gold
2024,Men's 100m Butterfly,David Morgan,Australia,Silver
2024,Men's 100m Butterfly,James Guy,Great Britain,Bronze
2024,Men's 100m Freestyle,Caeleb Dressel,United States,Gold
2024,Men's 100m Freestyle,Kyle Chalmers,Australia,Silver
2024,Men's 100m Freestyle,Zach Apple,United States,Bronze
2024,Men's 109kg,Akbar Djuraev,Uzbekistan,Gold
2024,Men's 109kg,Simon Martirosyan,Armenia,Silver
2024,Men's 109kg,Brian Kitts,United States,Bronze
2024,Men's 10km,Gregorio Paltrinieri,Italy,Gold
2024,Men's 10km,Oussama Mellouli,Tunisia,Silver
2024,Men's 10km,Florian Wellbrock,Germany,Bronze
2024,Men's 10m Platform,Thomas Daley,Great Britain,Gold
2024,Men's 10m Platform,Yuan Cao,China,Silver
2024,Men's 10m Platform,Jian Yang,China,Bronze
2024,Men's 110m Hurdles,Grant Holloway,United States,Gold
2024,Men's 110m Hurdles,Hansle Parchment,Jamaica,Silver
2024,Men's 110m Hurdles,Daniel Roberts,United States,Bronze
2024,Men's 1500m,Matthew Centrowitz,United States,Gold
2024,Men's 1500m,Jakob Ingebrigtsen,Norway,Silver
2024,Men's 1500m,Soufiane El,Morocco,Bronze
2024,Men's 1500m Freestyle,Gregorio Paltrinieri,Italy,Gold
2024,Men's 1500m Freestyle,Robert Finke,United States,Silver
2024,Men's 1500m Freestyle,Florian Wellbrock,Germany,Bronze
2024,Men's 200m,Aaron Brown,Canada,Gold
2024,Men's 200m,Brendon Rodney,Canada,Silver
2024,Men's 200m,Noah Lyles,United States,Bronze
2024,Men's 200m Backstroke,Ryan Murphy,United States,Gold
2024,Men's 200m Backstroke,Paul Williams,Great Britain,Silver
2024,Men's 200m Backstroke,Jiayu Xu,China,Bronze
2024,Men's 200m Breaststroke,Andrew Wilson,United States,Gold
2024,Men's 200m Breaststroke,Erik Persson,Sweden,Silver
2024,Men's 200m Breaststroke,Nic Fink,United States,Bronze
2024,Men's 200m Butterfly,Leon Marchand,France,Gold
2024,Men's 200m Butterfly,David Morgan,Australia,Silver
2024,Men's 200m Butterfly,Kristof Milak,Hungary,Bronze
2024,Men's 200m Freestyle,James Freeman,Botswana,Gold
2024,Men's 200m Freestyle,Duncan Scott,Great Britain,Silver
2024,Men's 200m Freestyle,Tom Dean,Great Britain,Bronze
2024,Men's 200m Individual Medley,Michael Andrew,United States,Gold
2024,Men's 200m Individual Medley,Duncan Scott,Great Britain,Silver
2024,Men's 200m Individual Medley,Gabriel Lopes,Portugal,Bronze
2024,Men's 20km Race Walk,Daniel Pintado,Ecuador,Gold
2024,Men's 20km Race Walk,Alvaro Martin,Spain,Silver
2024,Men's 20km Race Walk,Massimo Stano,Italy,Bronze
2024,Men's 3000m Steeplechase,Soufiane El,Morocco,Gold
2024,Men's 3000m Steeplechase,Matthew Hughes,Canada,Silver
2024,Men's 3000m Steeplechase,Lamecha Girma,Ethiopia,Bronze
2024,Men's 3m Springboard,Zongyuan Wang,China,Gold
2024,Men's 3m Springboard,Siyi Xie,China,Silver
2024,Men's 3m Springboard,Jack Laugher,Great Britain,Bronze
2024,Men's 4 x 100m Freestyle Relay Team,Caeleb Dressel,United States,Gold
2024,Men's 4 x 100m Freestyle Relay Team,Vladimir Morozov,ROC,Silver
2024,Men's 4 x 100m Freestyle Relay Team,James Guy,Great Britain,Bronze
2024,Men's 4 x 100m Medley Relay Team,Andrew Wilson,United States,Gold
2024,Men's 4 x 100m Medley Relay Team,Caeleb Dressel,United States,Silver
2024,Men's 4 x 100m Medley Relay Team,Michael Andrew,United States,Bronze
2024,Men's 4 x 100m Relay Team,Eric Harrison,Trinidad and Tobago,Gold
2024,Men's 4 x 100m Relay Team,Yohan Blake,Jamaica,Silver
2024,Men's 4 x 100m Relay Team,Richard Thompson,Trinidad and Tobago,Bronze
2024,Men's 4 x 200m Freestyle Relay Team,Duncan Scott,Great Britain,Gold
2024,Men's 4 x 200m Freestyle Relay Team,James Guy,Great Britain,Silver
2024,Men's 4 x 200m Freestyle Relay Team,Kyle Chalmers,Australia,Bronze
2024,Men's 4 x 400m Relay,Matthew Hudson-smith,Great Britain,Gold
2024,Men's 4 x 400m Relay,Christopher Naliali,France,Silver
2024,Men's 4 x 400m Relay,Tymoteusz Zimny,Poland,Bronze
2024,Men's 4 x 400m Relay Team,Christopher Taylor,Jamaica,Gold
2024,Men's 4 x 400m Relay Team,Rai Benjamin,United States,Silver
2024,Men's 4 x 400m Relay Team,Bryce Deadmon,United States,Bronze
2024,Men's 400m,Christopher Taylor,Jamaica,Gold
2024,Men's 400m,Randolph Ross,United States,Silver
2024,Men's 400m,Michael Norman,United States,Bronze
2024,Men's 400m Freestyle,James Freeman,Botswana,Gold
2024,Men's 400m Freestyle,Elijah Winnington,Australia,Silver
2024,Men's 400m Freestyle,Kieran Bird,Great Britain,Bronze
2024,Men's 400m Hurdles,Rai Benjamin,United States,Gold
2024,Men's 400m Hurdles,Mohamed Touati,Tunisia,Silver
2024,Men's 400m Hurdles,Karsten Warholm,Norway,Bronze
2024,Men's 400m Individual Medley,Leon Marchand,France,Gold
2024,Men's 400m Individual Medley,Paul Williams,Great Britain,Silver
2024,Men's 400m Individual Medley,Chase Kalisz,United States,Bronze
2024,Men's 5000m,Joshua Cheptegei,Uganda,Gold
2024,Men's 5000m,Mohammed Ahmed,Canada,Silver
2024,Men's 5000m,Paul Chelimo,United States,Bronze
2024,Men's 50km Race Walk,Dawid Tomala,Poland,Gold
2024,Men's 50km Race Walk,Jonathan Hilbert,Germany,Silver
2024,Men's 50km Race Walk,Jorge Ruiz,Colombia,Bronze
2024,Men's 50m Freestyle,Caeleb Dressel,United States,Gold
2024,Men's 50m Freestyle,Michael Andrew,United States,Silver
2024,Men's 50m Freestyle,Vladimir Morozov,ROC,Bronze
2024,Men's 61kg,Fabin Li,China,Gold
2024,Men's 61kg,Josef Brandhuber,Germany,Silver
2024,Men's 61kg,Yoichi Itokazu,Japan,Bronze
2024,Men's 73kg,Zhiyong Shi,China,Gold
2024,Men's 73kg,Ruben Mayora,Venezuela,Silver
2024,Men's 73kg,Clarence Cummings,United States,Bronze
2024,Men's 800m,Kipkurui Korir,Kenya,Gold
2024,Men's 800m,Marco Arop,Canada,Silver
2024,Men's 800m,Nijel Amos,Botswana,Bronze
2024,Men's 800m Freestyle,Gregorio Paltrinieri,Italy,Gold
2024,Men's 800m Freestyle,Robert Finke,United States,Silver
2024,Men's 800m Freestyle,Florian Wellbrock,Germany,Bronze
2024,Men's 81kg,Xiaojun Lyu,China,Gold
2024,Men's 81kg,Antonino Pizzolato,Italy,Silver
2024,Men's 81kg,Zacarias Bonnat,Dominican Republic,Bronze
2024,Men's 96kg,H Elbakh,Qatar,Gold
2024,Men's 96kg,Robert Santavy,Canada,Silver
2024,Men's 96kg,Giovan. Vallenilla,Venezuela,Bronze
2024,Men's All-Around,James Hall,Great Britain,Gold
2024,Men's All-Around,Daiki Hashimoto,Japan,Silver
2024,Men's All-Around,Jingyuan Zou,China,Bronze
2024,Men's Canoe,Sideris Tasiadis,Germany,Gold
2024,Men's Canoe,Benjamin Savsek,Slovenia,Silver
2024,Men's Canoe,Adam Burgess,Great Britain,Bronze
2024,Men's Canoe Double 1000m Team,Sebastian Brendel,Germany,Gold
2024,Men's Canoe Double 1000m Team,Hao Liu,China,Silver
2024,Men's Canoe Double 1000m Team,Petr Fuksa,Czech Republic,Bronze
2024,Men's Canoe Single 1000m,Sebastian Brendel,Germany,Gold
2024,Men's Canoe Single 1000m,Hao Liu,China,Silver
2024,Men's Canoe Single 1000m,Petr Fuksa,Czech Republic,Bronze
2024,Men's Cross-country,Nino Schurter,Switzerland,Gold
2024,Men's Cross-country,Thomas Pidcock,Great Britain,Silver
2024,Men's Cross-country,Victor Koretzky,France,Bronze
2024,Men's Decathlon,Damian Warner,Canada,Gold
2024,Men's Decathlon,Kevin Mayer,France,Silver
2024,Men's Decathlon,Zachery Ziemek,United States,Bronze
2024,Men's Discus Throw,Daniel Stahl,Sweden,Gold
2024,Men's Discus Throw,Simon Pettersson,Sweden,Silver
2024,Men's Discus Throw,Daniel Jasinski,Germany,Bronze
2024,Men's Double Sculls Team,Marc Weber,Germany,Gold
2024,Men's Double Sculls Team,Matthieu Androdias,France,Silver
2024,Men's Double Sculls Team,Hugo Boucheron,France,Bronze
2024,Men's Doubles Team,John Millman,Australia,Gold
2024,Men's Doubles Team,Yang Lee,Chinese Taipei,Silver
2024,Men's Doubles Team,Chi-lin Wang,Chinese Taipei,Bronze
2024,Men's Eight Team,Richard Schmidt,Germany,Gold
2024,Men's Eight Team,Martin Sauer,Germany,Silver
2024,Men's Eight Team,Hamish Bond,New Zealand,Bronze
2024,Men's Feather (52-57kg),Anthony Walker,Ireland,Gold
2024,Men's Feather (52-57kg),Albert Batyrgaziev,ROC,Silver
2024,Men's Feather (52-57kg),Duke Ragan,United States,Bronze
2024,Men's Floor Exercise,James Hall,Great Britain,Gold
2024,Men's Floor Exercise,Max Whitlock,Great Britain,Silver
2024,Men's Floor Exercise,Daiki Hashimoto,Japan,Bronze
2024,Men's Fly (48-52kg),Galal Yafai,Great Britain,Gold
2024,Men's Fly (48-52kg),David Varela,Cabo Verde,Silver
2024,Men's Fly (48-52kg),Billal Bennama,France,Bronze
2024,Men's Foil Individual,Benjamin Kleibrink,Germany,Gold
2024,Men's Foil Individual,Mohamed Hassan,Egypt,Silver
2024,Men's Foil Individual,Daniele Garozzo,Italy,Bronze
2024,Men's Foil Team,Mohamed Hassan,Egypt,Gold
2024,Men's Foil Team,Benjamin Kleibrink,Germany,Silver
2024,Men's Foil Team,Daniele Garozzo,Italy,Bronze
2024,Men's Four Team,John Smith,South Africa,Gold
2024,Men's Four Team,William Crothers,Canada,Silver
2024,Men's Four Team,Alexander Hill,Australia,Bronze
2024,Men's Freestyle 125kg,Dan Steveson,United States,Gold
2024,Men's Freestyle 125kg,Geno Petriashvili,Georgia,Silver
2024,Men's Freestyle 125kg,Gennadij Cudinovic,Germany,Bronze
2024,Men's Freestyle 57kg,Zavur Uguev,ROC,Gold
2024,Men's Freestyle 57kg,Patrick Gilman,United States,Silver
2024,Men's Freestyle 57kg,Kumar Ravi,India,Bronze
2024,Men's Freestyle 65kg,Takuto Otoguro,Japan,Gold
2024,Men's Freestyle 65kg,Gadzhimurad Rashidov,ROC,Silver
2024,Men's Freestyle 65kg,Haji Aliyev,Azerbaijan,Bronze
2024,Men's Freestyle 74kg,Zaurbek Sidakov,ROC,Gold
2024,Men's Freestyle 74kg,Douglas Dake,United States,Silver
2024,Men's Freestyle 74kg,Mahamedkhabib Kadzimahamedau,Belarus,Bronze
2024,Men's Freestyle 86kg,Hassan Yazdanicharati,Iran,Gold
2024,Men's Freestyle 86kg,Nazem Amine,San Marino,Silver
2024,Men's Freestyle 86kg,Morris Taylor,United States,Bronze
2024,Men's Freestyle 97kg,Abdulrashid Sadulaev,ROC,Gold
2024,Men's Freestyle 97kg,Frederick Snyder,United States,Silver
2024,Men's Freestyle 97kg,Jesus Conyedo,Italy,Bronze
2024,Men's Greco-Roman 130kg,Mijain Lopez,Cuba,Gold
2024,Men's Greco-Roman 130kg,Ahmed Mohamed,Egypt,Silver
2024,Men's Greco-Roman 130kg,Eduard Popp,Germany,Bronze
2024,Men's Greco-Roman 60kg,Kenichiro Fumita,Japan,Gold
2024,Men's Greco-Roman 60kg,Alberto Orta,Cuba,Silver
2024,Men's Greco-Roman 60kg,Ildar Hafizov,United States,Bronze
2024,Men's Greco-Roman 87kg,Zhan Beleniuk,Ukraine,Gold
2024,Men's Greco-Roman 87kg,Walter Stefanowicz,United States,Silver
2024,Men's Greco-Roman 87kg,Maksymilian Kudla,Germany,Bronze
2024,Men's Greco-Roman 97kg,Musa Evloev,ROC,Gold
2024,Men's Greco-Roman 97kg,Gangelo Hancock,United States,Silver
2024,Men's Greco-Roman 97kg,Artur Aleksanyan,Armenia,Bronze
2024,Men's Hammer Throw,Wojciech Nowicki,Poland,Gold
2024,Men's Hammer Throw,Ivan Tikhon,Belarus,Silver
2024,Men's Hammer Throw,Eivind Henriksen,Norway,Bronze
2024,Men's Heavy (81-91kg),la Julio,Cuba,Gold
2024,Men's Heavy (81-91kg),Muslim Gadzhimagomedov,ROC,Silver
2024,Men's Heavy (81-91kg),Riad Abduljabbar,Germany,Bronze
2024,Men's High Jump,Gianmarco Tamberi,Italy,Gold
2024,Men's High Jump,Essa Barshim,Qatar,Silver
2024,Men's High Jump,Hamish Kerr,New Zealand,Bronze
2024,Men's Horizontal Bar,James Hall,Great Britain,Gold
2024,Men's Horizontal Bar,Kohei Uchimura,Japan,Silver
2024,Men's Horizontal Bar,Max Whitlock,Great Britain,Bronze
2024,Men's Individual,Max Studer,Switzerland,Gold
2024,Men's Individual,Woojin Kim,South Korea,Silver
2024,Men's Individual,James Cooke,Great Britain,Bronze
2024,Men's Individual Stroke Play,Xander Schauffele,United States,Gold
2024,Men's Individual Stroke Play,Tommy Fleetwood,Great Britain,Silver
2024,Men's Individual Stroke Play,Rory Sabbatini,Slovakia,Bronze
2024,Men's Individual Time Trial,Geraint Thomas,Great Britain,Gold
2024,Men's Individual Time Trial,Remco Evenepoel,Belgium,Silver
2024,Men's Individual Time Trial,Rohan Dennis,Australia,Bronze
2024,Men's Javelin Throw,Neeraj Chopra,India,Gold
2024,Men's Javelin Throw,Keshorn Walcott,Trinidad and Tobago,Silver
2024,Men's Javelin Throw,Arshad Nadeem,Pakistan,Bronze
2024,Men's Kayak,de Giovanni,Italy,Gold
2024,Men's Kayak,Lucas Rossi,Argentina,Silver
2024,Men's Kayak,Hannes Aigner,Germany,Bronze
2024,Men's Kayak Double 1000m Team,Thomas Green,Australia,Gold
2024,Men's Kayak Double 1000m Team,Jacob Schopf,Germany,Silver
2024,Men's Kayak Double 1000m Team,Max Hoff,Germany,Bronze
2024,Men's Kayak Four 500m Team,Ronald Rauhe,Germany,Gold
2024,Men's Kayak Four 500m Team,Max Rendschmidt,Germany,Silver
2024,Men's Kayak Four 500m Team,Max Lemke,Germany,Bronze
2024,Men's Kayak Single 1000m,Thomas Green,Australia,Gold
2024,Men's Kayak Single 1000m,Jacob Schopf,Germany,Silver
2024,Men's Kayak Single 1000m,van Jean,Australia,Bronze
2024,Men's Kayak Single 200m,Liam Heath,Great Britain,Gold
2024,Men's Kayak Single 200m,Sandor Totka,Hungary,Silver
2024,Men's Kayak Single 200m,Maxime Beaumont,France,Bronze
2024,Men's Keirin,Jason Kenny,Great Britain,Gold
2024,Men's Keirin,Harrie Lavreysen,Netherlands,Silver
2024,Men's Keirin,Maximilian Levy,Germany,Bronze
2024,Men's Kumite -75kg,Luigi Busa,Italy,Gold
2024,Men's Kumite -75kg,Thomas Scott,United States,Silver
2024,Men's Kumite -75kg,Rafael Aghayev,Azerbaijan,Bronze
2024,Men's Light (57-63kg),Sofiane Oumiha,France,Gold
2024,Men's Light (57-63kg),Keyshawn Davis,United States,Silver
2024,Men's Light (57-63kg),Andy Cruz,Cuba,Bronze
2024,Men's Long Jump,Miltiadis Tentoglou,Greece,Gold
2024,Men's Long Jump,Henry Frayne,Australia,Silver
2024,Men's Long Jump,Miguel Echevarria,Cuba,Bronze
2024,Men's Madison Team,Elia Viviani,Italy,Gold
2024,Men's Madison Team,Sam Welsford,Australia,Silver
2024,Men's Madison Team,Simone Consonni,Italy,Bronze
2024,Men's Marathon,Eliud Kipchoge,Kenya,Gold
2024,Men's Marathon,Luis Santana,Mexico,Silver
2024,Men's Marathon,Galen Rupp,United States,Bronze
2024,Men's Omnium,Elia Viviani,Italy,Gold
2024,Men's Omnium,Sam Welsford,Australia,Silver
2024,Men's Omnium,Simone Consonni,Italy,Bronze
2024,Men's One Person Dinghy (Heavyweight) - Finn,Giles Scott,Great Britain,Gold
2024,Men's One Person Dinghy (Heavyweight) - Finn,Max Salminen,Sweden,Silver
2024,Men's One Person Dinghy (Heavyweight) - Finn,Zsombor Berecz,Hungary,Bronze
2024,Men's One Person Dinghy - Laser,Robert Scheidt,Brazil,Gold
2024,Men's One Person Dinghy - Laser,Matt Wearn,Australia,Silver
2024,Men's One Person Dinghy - Laser,Charlie Buckingham,United States,Bronze
2024,Men's Pair Team,Stephen Jones,New Zealand,Gold
2024,Men's Pair Team,Valent Sinkovic,Croatia,Silver
2024,Men's Pair Team,Martin Sinkovic,Croatia,Bronze
2024,Men's Parallel Bars,James Hall,Great Britain,Gold
2024,Men's Parallel Bars,Kohei Uchimura,Japan,Silver
2024,Men's Parallel Bars,Max Whitlock,Great Britain,Bronze
2024,Men's Pole Vault,Renaud Lavillenie,France,Gold
2024,Men's Pole Vault,Armand Duplantis,Sweden,Silver
2024,Men's Pole Vault,Christopher Nilsen,United States,Bronze
2024,Men's Pommel Horse,James Hall,Great Britain,Gold
2024,Men's Pommel Horse,Max Whitlock,Great Britain,Silver
2024,Men's Pommel Horse,Daiki Hashimoto,Japan,Bronze
2024,Men's Quadruple Sculls Team,Karl Schulze,Germany,Gold
2024,Men's Quadruple Sculls Team,Tone Wieten,Netherlands,Silver
2024,Men's Quadruple Sculls Team,Hans Gruhne,Germany,Bronze
2024,Men's Rings,James Hall,Great Britain,Gold
2024,Men's Rings,Max Whitlock,Great Britain,Silver
2024,Men's Rings,Daiki Hashimoto,Japan,Bronze
2024,Men's Road Race,Geraint Thomas,Great Britain,Gold
2024,Men's Road Race,Remco Evenepoel,Belgium,Silver
2024,Men's Road Race,Tom Dumoulin,Netherlands,Bronze
2024,Men's Sabre Individual,Sanguk Oh,South Korea,Gold
2024,Men's Sabre Individual,Bongil Gu,South Korea,Silver
2024,Men's Sabre Individual,Luigi Samele,Italy,Bronze
2024,Men's Sabre Team,Aldo Montano,Italy,Gold
2024,Men's Sabre Team,Sanguk Oh,South Korea,Silver
2024,Men's Sabre Team,Luigi Samele,Italy,Bronze
2024,Men's Shot Put,Ryan Crouser,United States,Gold
2024,Men's Shot Put,Joe Kovacs,United States,Silver
2024,Men's Shot Put,Payton Otterdahl,United States,Bronze
2024,Men's Single Sculls,Oliver Zeidler,Germany,Gold
2024,Men's Single Sculls,Damir Martin,Croatia,Silver
2024,Men's Single Sculls,Finn Florijn,Netherlands,Bronze
2024,Men's Singles,Zhendong Fan,China,Gold
2024,Men's Singles,John Millman,Australia,Silver
2024,Men's Singles,Long Ma,China,Bronze
2024,Men's Skiff - 49er Team,William Jones,Canada,Gold
2024,Men's Skiff - 49er Team,Peter Burling,New Zealand,Silver
2024,Men's Skiff - 49er Team,Blair Tuke,New Zealand,Bronze
2024,Men's Sprint,Jason Kenny,Great Britain,Gold
2024,Men's Sprint,Harrie Lavreysen,Netherlands,Silver
2024,Men's Sprint,Maximilian Levy,Germany,Bronze
2024,Men's Super Heavy (+91kg),Bakhodir Jalolov,Uzbekistan,Gold
2024,Men's Super Heavy (+91kg),Richard Torrez,United States,Silver
2024,Men's Super Heavy (+91kg),Frazer Clarke,Great Britain,Bronze
2024,Men's Synchronised 10m Platform Team,Thomas Daley,Great Britain,Gold
2024,Men's Synchronised 10m Platform Team,Yuan Cao,China,Silver
2024,Men's Synchronised 10m Platform Team,Matty Lee,Great Britain,Bronze
2024,Men's Synchronised 3m Springboard Team,Zongyuan Wang,China,Gold
2024,Men's Synchronised 3m Springboard Team,Ken Terauchi,Japan,Silver
2024,Men's Synchronised 3m Springboard Team,Siyi Xie,China,Bronze
2024,Men's Team,James Hall,Great Britain,Gold
2024,Men's Team,Max Whitlock,Great Britain,Silver
2024,Men's Team,Woojin Kim,South Korea,Bronze
2024,Men's Team Pursuit Team,Edward Clancy,Great Britain,Gold
2024,Men's Team Pursuit Team,Elia Viviani,Italy,Silver
2024,Men's Team Pursuit Team,Sam Welsford,Australia,Bronze
2024,Men's Team Sprint Team,Jason Kenny,Great Britain,Gold
2024,Men's Team Sprint Team,Harrie Lavreysen,Netherlands,Silver
2024,Men's Team Sprint Team,Philip Hindes,Great Britain,Bronze
2024,Men's Triple Jump,Pedro Pichardo,Portugal,Gold
2024,Men's Triple Jump,Max Hess,Germany,Silver
